item_id,name,category,price,ingredients,vegetarian,vegan,jain,spicy,sweet,preparation_time,available,cuisine,serving_size,tags,image_emoji
1,Paneer Kathi Roll,Roll,65,"paneer,onion,capsicum,wheat roti,mint chutney,spices",true,false,false,true,false,8,true,North Indian,1 roll,"filling,protein-rich,spicy,roll",🌯
2,Chicken Tikka Roll,Roll,85,"chicken,onion,wheat roti,mint chutney,spices",false,false,false,true,false,9,true,North Indian,1 roll,"protein,non-veg,roll,savory",🌯
3,Egg Bhurji Roll,Roll,55,"eggs,onion,tomato,wheat roti,green chilli,spices",false,false,false,true,false,7,true,Indian,1 roll,"quick-bite,egg,protein",🌯
4,Aloo Corn Roll,Roll,45,"potatoes,sweet corn,wheat roti,coriander,spices",true,true,false,true,false,6,true,Indian,1 roll,"budget,vegan,quick-bite",🌯
5,Veg Biryani,Rice,80,"basmati rice,carrots,beans,peas,onion,aromatic spices",true,true,false,true,false,14,true,Hyderabadi,1 bowl,"heavy-meal,filling,flavorful",🍚
6,Chicken Dum Biryani,Rice,120,"basmati rice,chicken,yogurt,fried onion,saffron,spices",false,false,false,true,false,15,true,Hyderabadi,1 bowl,"hearty,non-veg,chef-special",🍗
7,Rajma Chawal,Rice,70,"kidney beans,basmati rice,tomato gravy,ginger,garlic,spices",true,true,false,true,false,10,true,Punjabi,1 bowl,"comfort-food,homely,fiber-rich",🍛
8,Jain Dal Khichdi,Rice,60,"rice,yellow moong dal,cumin,turmeric,ghee",true,false,true,false,false,8,true,Indian,1 bowl,"light,gut-friendly,jain,comfort",🍲
9,Curd Rice,Rice,50,"rice,fresh curd,mustard seeds,curry leaves,green chilli",true,false,true,false,false,5,true,South Indian,1 bowl,"cooling,soothing,exam-calm",🥣
10,Schezwan Fried Rice,Rice,75,"rice,cabbage,bell pepper,onion,schezwan sauce,garlic",true,true,false,true,false,11,true,Indo-Chinese,1 bowl,"fiery,spicy,street-style",🥡
11,Cheese Grilled Sandwich,Snacks,50,"white bread,cheese slice,tomato,cucumber,capsicum,butter",true,false,false,false,false,5,true,Continental,2 halves,"cheesy,quick,crowd-favorite",🥪
12,Masala Dosa,Snacks,60,"fermented rice-lentil batter,spiced potato filling,coconut chutney,sambar",true,true,false,true,false,10,true,South Indian,1 dosa,"crispy,traditional,filling",🥞
13,Samosa (2 pcs),Snacks,25,"refined flour pastry,spiced potato,peas,cumin,tamarind chutney",true,true,false,true,false,4,true,North Indian,2 pieces,"budget,crispy,tea-time",🥟
14,Mumbai Vada Pav,Snacks,25,"potato patty,pav bun,garlic chutney,fried green chilli",true,true,false,true,false,4,true,Maharashtrian,1 pav,"street-style,spicy,grab-and-go",🍔
15,Veg Cutlet (2 pcs),Snacks,35,"potatoes,beetroot,carrots,breadcrumbs,green chutney",true,true,false,true,false,6,true,Indian,2 cutlets,"crispy,budget,evening-snack",🧆
